case,truth,alpha_mean,alpha_sd,pole_call_rate,delta_best_rate,mu_mean
delta_Z10,pole,0.5905791136271794,0.0,0.0,0.0,0.9313030633075655
delta_Z25,pole,0.8001425348830675,0.0,0.0,0.0,0.9759111407583753
delta_Z50,pole,0.920297279313276,0.0,0.0,0.0,0.9912931947170154
doublet,nonunique,0.8708142713318529,0.04644122676766855,0.0,0.0,0.8139595777119648
finite_comb_32,nonpole,0.6121590044989941,0.08774739328660562,0.0,0.45,0.8689233261007271
finite_comb_8,nonpole,0.8377772723161039,0.07961721416668231,0.5,0.8,0.9825727806868529
smooth_continuum,nonpole,0.043204717425438965,0.0,0.0,0.0,0.04258821843549461
sqrt_cusp,nonpole,0.4537069758165756,0.0,0.0,0.0,0.447809418903255
