seed,world,split,intervention_kind,amplitude,paired_pulse_separation,current_state_H1,current_state_H2,current_state_match_error,history_distance,response_H1,response_H2,Delta_H_R,history_only_variable_changed,heldout_intervention_not_in_training,stage
30000,finite_markov_sufficient_state_control,training,pulse,0.5,0,0.1266738751334381,0.1266738751334381,0.0,14.751497985305,0.0380021625400314,0.0380021625400314,0.0,True,False,development
30000,finite_markov_sufficient_state_control,training,pulse,1.0,0,0.1266738751334381,0.1266738751334381,0.0,14.751497985305,0.0760043250800628,0.0760043250800628,0.0,True,False,development
30000,finite_markov_sufficient_state_control,training,step,1.0,0,0.1266738751334381,0.1266738751334381,0.0,14.751497985305,0.0760043250800628,0.0760043250800628,0.0,True,False,development
30000,finite_markov_sufficient_state_control,heldout,pulse,0.25,0,0.1266738751334381,0.1266738751334381,0.0,14.751497985305,0.0190010812700157,0.0190010812700157,0.0,True,True,development
30000,finite_markov_sufficient_state_control,heldout,pulse,1.5,0,0.1266738751334381,0.1266738751334381,0.0,14.751497985305,0.1140064876200942,0.1140064876200942,0.0,True,True,development
30000,finite_markov_sufficient_state_control,heldout,paired_pulse,1.0,13,0.1266738751334381,0.1266738751334381,0.0,14.751497985305,0.0760043250800628,0.0760043250800628,0.0,True,True,development
30000,long_memory_history_target,training,pulse,0.5,0,0.1266738751334381,0.1266738751334381,0.0,14.751497985305,0.2620494472806005,-0.4654319082868531,0.7274813555674536,True,False,development
30000,long_memory_history_target,training,pulse,1.0,0,0.1266738751334381,0.1266738751334381,0.0,14.751497985305,0.524098894561201,-0.9308638165737064,1.4549627111349073,True,False,development
30000,long_memory_history_target,training,step,1.0,0,0.1266738751334381,0.1266738751334381,0.0,14.751497985305,0.524098894561201,-0.9308638165737064,1.4549627111349073,True,False,development
30000,long_memory_history_target,heldout,pulse,0.25,0,0.1266738751334381,0.1266738751334381,0.0,14.751497985305,0.1310247236403002,-0.2327159541434265,0.3637406777837268,True,True,development
30000,long_memory_history_target,heldout,pulse,1.5,0,0.1266738751334381,0.1266738751334381,0.0,14.751497985305,0.7861483418418014,-1.3962957248605594,2.182444066702361,True,True,development
30000,long_memory_history_target,heldout,paired_pulse,1.0,13,0.1266738751334381,0.1266738751334381,0.0,14.751497985305,0.6324779976075118,-0.8224847135273955,1.4549627111349073,True,True,development
30001,finite_markov_sufficient_state_control,training,pulse,0.5,0,0.0694393382638297,0.0694393382638297,0.0,14.751497985305,0.0208318014791489,0.0208318014791489,0.0,True,False,development
30001,finite_markov_sufficient_state_control,training,pulse,1.0,0,0.0694393382638297,0.0694393382638297,0.0,14.751497985305,0.0416636029582978,0.0416636029582978,0.0,True,False,development
30001,finite_markov_sufficient_state_control,training,step,1.0,0,0.0694393382638297,0.0694393382638297,0.0,14.751497985305,0.0416636029582978,0.0416636029582978,0.0,True,False,development
30001,finite_markov_sufficient_state_control,heldout,pulse,0.25,0,0.0694393382638297,0.0694393382638297,0.0,14.751497985305,0.0104159007395744,0.0104159007395744,0.0,True,True,development
30001,finite_markov_sufficient_state_control,heldout,pulse,1.5,0,0.0694393382638297,0.0694393382638297,0.0,14.751497985305,0.0624954044374467,0.0624954044374467,0.0,True,True,development
30001,finite_markov_sufficient_state_control,heldout,paired_pulse,1.0,13,0.0694393382638297,0.0694393382638297,0.0,14.751497985305,0.0416636029582978,0.0416636029582978,0.0,True,True,development
30001,long_memory_history_target,training,pulse,0.5,0,0.0694393382638297,0.0694393382638297,0.0,14.751497985305,0.3636885303428819,-0.3772040042566428,0.7408925345995248,True,False,development
30001,long_memory_history_target,training,pulse,1.0,0,0.0694393382638297,0.0694393382638297,0.0,14.751497985305,0.7273770606857639,-0.7544080085132856,1.4817850691990495,True,False,development
30001,long_memory_history_target,training,step,1.0,0,0.0694393382638297,0.0694393382638297,0.0,14.751497985305,0.7273770606857639,-0.7544080085132856,1.4817850691990495,True,False,development
30001,long_memory_history_target,heldout,pulse,0.25,0,0.0694393382638297,0.0694393382638297,0.0,14.751497985305,0.1818442651714409,-0.1886020021283214,0.3704462672997624,True,True,development
30001,long_memory_history_target,heldout,pulse,1.5,0,0.0694393382638297,0.0694393382638297,0.0,14.751497985305,1.091065591028646,-1.1316120127699285,2.2226776037985743,True,True,development
30001,long_memory_history_target,heldout,paired_pulse,1.0,13,0.0694393382638297,0.0694393382638297,0.0,14.751497985305,0.8357561637320747,-0.6460289054669748,1.4817850691990495,True,True,development
30002,finite_markov_sufficient_state_control,training,pulse,0.5,0,-0.049379054361567,-0.049379054361567,0.0,14.751497985305,-0.0148137163084701,-0.0148137163084701,0.0,True,False,development
30002,finite_markov_sufficient_state_control,training,pulse,1.0,0,-0.049379054361567,-0.049379054361567,0.0,14.751497985305,-0.0296274326169402,-0.0296274326169402,0.0,True,False,development
30002,finite_markov_sufficient_state_control,training,step,1.0,0,-0.049379054361567,-0.049379054361567,0.0,14.751497985305,-0.0296274326169402,-0.0296274326169402,0.0,True,False,development
30002,finite_markov_sufficient_state_control,heldout,pulse,0.25,0,-0.049379054361567,-0.049379054361567,0.0,14.751497985305,-0.007406858154235,-0.007406858154235,0.0,True,True,development
30002,finite_markov_sufficient_state_control,heldout,pulse,1.5,0,-0.049379054361567,-0.049379054361567,0.0,14.751497985305,-0.0444411489254103,-0.0444411489254103,0.0,True,True,development
30002,finite_markov_sufficient_state_control,heldout,paired_pulse,1.0,13,-0.049379054361567,-0.049379054361567,0.0,14.751497985305,-0.0296274326169402,-0.0296274326169402,0.0,True,True,development
30002,long_memory_history_target,training,pulse,0.5,0,-0.049379054361567,-0.049379054361567,0.0,14.751497985305,0.4106837272794432,-0.3281396032660328,0.738823330545476,True,False,development
30002,long_memory_history_target,training,pulse,1.0,0,-0.049379054361567,-0.049379054361567,0.0,14.751497985305,0.8213674545588864,-0.6562792065320656,1.477646661090952,True,False,development
30002,long_memory_history_target,training,step,1.0,0,-0.049379054361567,-0.049379054361567,0.0,14.751497985305,0.8213674545588864,-0.6562792065320656,1.477646661090952,True,False,development
30002,long_memory_history_target,heldout,pulse,0.25,0,-0.049379054361567,-0.049379054361567,0.0,14.751497985305,0.2053418636397216,-0.1640698016330164,0.369411665272738,True,True,development
30002,long_memory_history_target,heldout,pulse,1.5,0,-0.049379054361567,-0.049379054361567,0.0,14.751497985305,1.2320511818383295,-0.9844188097980984,2.216469991636428,True,True,development
30002,long_memory_history_target,heldout,paired_pulse,1.0,13,-0.049379054361567,-0.049379054361567,0.0,14.751497985305,0.9297465576051972,-0.5479001034857548,1.477646661090952,True,True,development
30003,finite_markov_sufficient_state_control,training,pulse,0.5,0,0.0941576824361811,0.0941576824361811,0.0,14.751497985305,0.0282473047308543,0.0282473047308543,0.0,True,False,development
30003,finite_markov_sufficient_state_control,training,pulse,1.0,0,0.0941576824361811,0.0941576824361811,0.0,14.751497985305,0.0564946094617086,0.0564946094617086,0.0,True,False,development
30003,finite_markov_sufficient_state_control,training,step,1.0,0,0.0941576824361811,0.0941576824361811,0.0,14.751497985305,0.0564946094617086,0.0564946094617086,0.0,True,False,development
30003,finite_markov_sufficient_state_control,heldout,pulse,0.25,0,0.0941576824361811,0.0941576824361811,0.0,14.751497985305,0.0141236523654271,0.0141236523654271,0.0,True,True,development
30003,finite_markov_sufficient_state_control,heldout,pulse,1.5,0,0.0941576824361811,0.0941576824361811,0.0,14.751497985305,0.084741914192563,0.084741914192563,0.0,True,True,development
30003,finite_markov_sufficient_state_control,heldout,paired_pulse,1.0,13,0.0941576824361811,0.0941576824361811,0.0,14.751497985305,0.0564946094617086,0.0564946094617086,0.0,True,True,development
30003,long_memory_history_target,training,pulse,0.5,0,0.0941576824361811,0.0941576824361811,0.0,14.751497985305,0.3733836839977992,-0.3676471939509963,0.7410308779487955,True,False,development
30003,long_memory_history_target,training,pulse,1.0,0,0.0941576824361811,0.0941576824361811,0.0,14.751497985305,0.7467673679955985,-0.7352943879019926,1.482061755897591,True,False,development
30003,long_memory_history_target,training,step,1.0,0,0.0941576824361811,0.0941576824361811,0.0,14.751497985305,0.7467673679955985,-0.7352943879019926,1.482061755897591,True,False,development
30003,long_memory_history_target,heldout,pulse,0.25,0,0.0941576824361811,0.0941576824361811,0.0,14.751497985305,0.1866918419988996,-0.1838235969754981,0.3705154389743977,True,True,development
30003,long_memory_history_target,heldout,pulse,1.5,0,0.0941576824361811,0.0941576824361811,0.0,14.751497985305,1.1201510519933977,-1.1029415818529889,2.2230926338463863,True,True,development
30003,long_memory_history_target,heldout,paired_pulse,1.0,13,0.0941576824361811,0.0941576824361811,0.0,14.751497985305,0.8551464710419093,-0.6269152848556818,1.482061755897591,True,True,development
30004,finite_markov_sufficient_state_control,training,pulse,0.5,0,0.0838735760726864,0.0838735760726864,0.0,14.751497985305,0.0251620728218059,0.0251620728218059,0.0,True,False,development
30004,finite_markov_sufficient_state_control,training,pulse,1.0,0,0.0838735760726864,0.0838735760726864,0.0,14.751497985305,0.0503241456436118,0.0503241456436118,0.0,True,False,development
30004,finite_markov_sufficient_state_control,training,step,1.0,0,0.0838735760726864,0.0838735760726864,0.0,14.751497985305,0.0503241456436118,0.0503241456436118,0.0,True,False,development
