stage,seed,dimension,true_rank,strength,rank,method,train_samples,heldout_samples,field_evaluation_samples,cca_identity_diff,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,stability_max_real_eigenvalue
confirmation,10000,4,1,0.1,4,correlon,2000,1000,1000,0.0,1.0121528897268612,0.05408889048206787,0.9985695275330647,0.02674390086482576,0.014358860366746159,1.6653345369377348e-16
confirmation,10000,4,1,0.1,4,cca_equivalent,2000,1000,1000,0.0,1.0121528897268612,0.05408889048206787,0.9985695275330647,0.02674390086482576,0.014358860366746159,1.6653345369377348e-16
confirmation,10000,4,1,0.1,4,raw_svd,2000,1000,1000,0.0,1.0121528897268617,0.05408889048206803,0.9985695275330647,0.026743900864825837,0.014358860366745337,2.220446049250313e-16
confirmation,10000,4,1,0.1,4,full_state_oracle,2000,1000,1000,0.0,1.0,0.0,1.0,0.0,0.0,1.249000902703301e-16
confirmation,10000,4,1,0.25,4,correlon,2000,1000,1000,0.0,0.9795660272679504,0.06169157009171513,0.9982895308681826,0.029244393751772152,0.018794519845580164,7.771561172376096e-16
confirmation,10000,4,1,0.25,4,cca_equivalent,2000,1000,1000,0.0,0.9795660272679504,0.06169157009171513,0.9982895308681826,0.029244393751772152,0.018794519845580164,7.771561172376096e-16
confirmation,10000,4,1,0.25,4,raw_svd,2000,1000,1000,0.0,0.9795660272679512,0.06169157009171498,0.9982895308681826,0.029244393751772086,0.01879451984558051,3.608224830031759e-16
confirmation,10000,4,1,0.25,4,full_state_oracle,2000,1000,1000,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
confirmation,10000,4,1,0.5,4,correlon,2000,1000,1000,0.0,0.9804323542784152,0.057603052978976596,0.9985473958846492,0.02694999179360474,0.016303838820439,4.996003610813204e-16
confirmation,10000,4,1,0.5,4,cca_equivalent,2000,1000,1000,0.0,0.9804323542784152,0.057603052978976596,0.9985473958846492,0.02694999179360474,0.016303838820439,4.996003610813204e-16
confirmation,10000,4,1,0.5,4,raw_svd,2000,1000,1000,0.0,0.9804323542784144,0.05760305297897654,0.9985473958846492,0.026949991793604813,0.016303838820438794,2.220446049250313e-16
confirmation,10000,4,1,0.5,4,full_state_oracle,2000,1000,1000,0.0,1.0,0.0,1.0,0.0,0.0,3.469446951953614e-16
confirmation,10000,4,1,1.0,4,correlon,2000,1000,1000,0.0,0.9985681191732576,0.06142031060232031,0.9983866037724402,0.028402431476546204,0.01428650008157201,3.3306690738754696e-16
confirmation,10000,4,1,1.0,4,cca_equivalent,2000,1000,1000,0.0,0.9985681191732576,0.06142031060232031,0.9983866037724402,0.028402431476546204,0.01428650008157201,3.3306690738754696e-16
confirmation,10000,4,1,1.0,4,raw_svd,2000,1000,1000,0.0,0.998568119173259,0.06142031060232065,0.9983866037724402,0.02840243147654636,0.01428650008157184,3.885780586188048e-16
confirmation,10000,4,1,1.0,4,full_state_oracle,2000,1000,1000,0.0,1.0,0.0,1.0,0.0,0.0,5.273559366969494e-16
confirmation,10000,4,2,0.1,4,correlon,2000,1000,1000,0.0,1.0205646357073859,0.06304632320782176,0.9984367248892136,0.02795778166080381,0.014578157700058256,6.106226635438361e-16
confirmation,10000,4,2,0.1,4,cca_equivalent,2000,1000,1000,0.0,1.0205646357073859,0.06304632320782176,0.9984367248892136,0.02795778166080381,0.014578157700058256,6.106226635438361e-16
confirmation,10000,4,2,0.1,4,raw_svd,2000,1000,1000,0.0,1.0205646357073845,0.06304632320782216,0.9984367248892135,0.027957781660803975,0.014578157700059026,1.6653345369377348e-16
confirmation,10000,4,2,0.1,4,full_state_oracle,2000,1000,1000,0.0,1.0,0.0,1.0,0.0,0.0,3.608224830031759e-16
confirmation,10000,4,2,0.25,4,correlon,2000,1000,1000,0.0,0.9806536854405993,0.055643256916810706,0.9986413706213159,0.02606366607639939,0.01692956172412549,1.6653345369377348e-16
confirmation,10000,4,2,0.25,4,cca_equivalent,2000,1000,1000,0.0,0.9806536854405993,0.055643256916810706,0.9986413706213159,0.02606366607639939,0.01692956172412549,1.6653345369377348e-16
confirmation,10000,4,2,0.25,4,raw_svd,2000,1000,1000,0.0,0.9806536854405995,0.05564325691681062,0.9986413706213159,0.02606366607639941,0.016929561724126505,2.0816681711721685e-16
confirmation,10000,4,2,0.25,4,full_state_oracle,2000,1000,1000,0.0,1.0,0.0,1.0,0.0,0.0,1.1102230246251565e-16
confirmation,10000,4,2,0.5,4,correlon,2000,1000,1000,0.0,1.0049810281405023,0.05544063266893934,0.9984589776217137,0.02775808331177045,0.01919478535128916,2.3592239273284576e-16
confirmation,10000,4,2,0.5,4,cca_equivalent,2000,1000,1000,0.0,1.0049810281405023,0.05544063266893934,0.9984589776217137,0.02775808331177045,0.01919478535128916,2.3592239273284576e-16
confirmation,10000,4,2,0.5,4,raw_svd,2000,1000,1000,0.0,1.0049810281405034,0.05544063266893932,0.9984589776217137,0.027758083311770473,0.019194785351288872,2.220446049250313e-16
confirmation,10000,4,2,0.5,4,full_state_oracle,2000,1000,1000,0.0,1.0,0.0,1.0,0.0,0.0,4.996003610813204e-16
confirmation,10000,4,2,1.0,4,correlon,2000,1000,1000,0.0,0.9845620452380353,0.06355886137139533,0.9982235988036959,0.029802694478050368,0.011696345112430593,5.551115123125783e-16
confirmation,10000,4,2,1.0,4,cca_equivalent,2000,1000,1000,0.0,0.9845620452380353,0.06355886137139533,0.9982235988036959,0.029802694478050368,0.011696345112430593,5.551115123125783e-16
confirmation,10000,4,2,1.0,4,raw_svd,2000,1000,1000,0.0,0.9845620452380355,0.06355886137139523,0.9982235988036959,0.029802694478050402,0.01169634511243056,2.7755575615628914e-16
confirmation,10000,4,2,1.0,4,full_state_oracle,2000,1000,1000,0.0,1.0,0.0,1.0,0.0,0.0,6.106226635438361e-16
confirmation,10000,4,4,0.1,4,correlon,2000,1000,1000,0.0,0.9987208239645325,0.05758694927220336,0.998428424769281,0.02803190352722328,0.012867129332216242,2.498001805406602e-16
confirmation,10000,4,4,0.1,4,cca_equivalent,2000,1000,1000,0.0,0.9987208239645325,0.05758694927220336,0.998428424769281,0.02803190352722328,0.012867129332216242,2.498001805406602e-16
