dimension,condition,beta,sample_size,seed,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,trajectory_error
2,1.5,0.5,500,0,1.0965443031346411,0.04350144713671577,0.9994787026564973,0.016144617423505196,0.01128848231038563,0.00690307789303835
2,1.5,0.5,500,1,1.0108675674671652,0.05926005802690399,0.998872619055498,0.023742166545010667,0.026285622542954742,0.009416328307505197
2,1.5,0.5,500,2,0.994449370161584,0.12170108149772317,0.9957088721441123,0.04632023238223116,0.011780496006831696,0.019299966746375345
2,1.5,0.5,500,3,0.9661264830949715,0.024957544128607602,0.9998101451227455,0.009743071313877588,0.006389794056951537,0.003960325687037481
2,1.5,0.5,500,4,1.011669558854959,0.04694576328441594,0.9992997580684398,0.01871151960103903,0.022666490391144708,0.007462527613382177
2,1.5,0.5,500,5,0.8704576167816175,0.09281838057769419,0.9973905778440194,0.03612078457052593,0.05217007706746984,0.014765908014847631
2,1.5,0.5,500,6,0.9618982631586523,0.02291192388297429,0.9998593612465607,0.00838566495392875,0.0065993323495693165,0.0036363694736202437
2,1.5,0.5,500,7,1.056069333906073,0.02762883442921829,0.9997790608024784,0.010510451881856685,0.009815806713094222,0.00438713181991051
2,1.5,0.5,500,8,0.9712126668659621,0.041719893741293056,0.9994830044188592,0.016077866480676863,0.010011763116791242,0.006619575618300006
2,1.5,0.5,500,9,0.8774807113824016,0.05613444923074163,0.9990645411858337,0.021627052667507567,0.02590143746311453,0.00892119824999945
2,1.5,0.5,500,10,0.9966396695810139,0.04872306747842139,0.9993705791759886,0.017740079255902742,0.013048589592416532,0.007732058650221259
2,1.5,0.5,500,11,0.9958506182274203,0.08847100902140329,0.9977959526477101,0.03319674195075321,0.005958141585316601,0.014029460571791498
2,1.5,0.5,500,12,0.9313430042132672,0.02469127192013009,0.999821335001132,0.00945158713836085,0.004930484419292805,0.003916957135014993
2,1.5,0.5,500,13,0.9634551469187809,0.07686682965301138,0.9982509570018459,0.02957230966761025,0.014786146954115287,0.012193522285571072
2,1.5,0.5,500,14,0.9583321207151868,0.1134967985219519,0.9959933154668118,0.044758711627950955,0.04484375951245624,0.018026194542010262
2,1.5,0.5,500,15,0.8518017854668227,0.11629233765050973,0.9957612697966629,0.04603656266130828,0.06996537189869366,0.018507708359101815
2,1.5,0.5,500,16,0.943924062050857,0.0581607544169308,0.9991621122726866,0.020468118224611392,0.00217251655487853,0.009222637075421725
2,1.5,0.5,500,17,1.0412202270727098,0.07075563877013118,0.9985939519994802,0.026514599756735903,0.02046851204834664,0.011230044652637682
2,1.5,0.5,500,18,1.0458865127283083,0.022839007406361092,0.9998550463966229,0.008513330822217424,0.002815584398170277,0.0036221590275745453
2,1.5,0.5,500,19,1.0556180682460368,0.12301860876631833,0.9959031813876454,0.04525935600709865,0.026272915221331905,0.019516849432838122
