seed,gamma,omega,analytic_stationary_covariance_difference,analytic_equal_time_moment_max_difference_order_1_to_6,stationary_lyapunov_residual_A0,stationary_lyapunov_residual_A1,empirical_moment_max_difference_order_1_to_6,generator_difference_norm,probability_current_norm_A0,probability_current_norm_A1,input_has_timestamp,input_has_lag,input_has_sample_order,baseline_equal_time_verdict,stage,empirical_moment_normalized_max_difference,empirical_to_population_normalized_RMSE_A0,empirical_to_population_normalized_RMSE_A1
0,0.5,0.5,0.0,0.0,0.0,0.0,1.0873665824272103,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.0724911054951473,0.0105588452685406,0.0156621720262264
0,0.5,1.5,0.0,0.0,0.0,0.0,3.748990959359384,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.2499327306239589,0.0398179442608655,0.015655419954733
0,1.0,0.5,0.0,0.0,0.0,0.0,1.1476986719245,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.0765132447949666,0.0227885970280205,0.0157666433008249
0,1.0,1.5,0.0,0.0,0.0,0.0,2.846377446162688,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.1897584964108458,0.0253454988898661,0.0228207801335976
1,0.5,0.5,0.0,0.0,0.0,0.0,0.9768097358187048,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.0651206490545803,0.0122450171875405,0.0115711859379921
1,0.5,1.5,0.0,0.0,0.0,0.0,4.3419305840345945,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.2894620389356396,0.0376130750705195,0.021302421554826
1,1.0,0.5,0.0,0.0,0.0,0.0,2.6930215497858434,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.1795347699857229,0.0257929602684263,0.017138280977256
1,1.0,1.5,0.0,0.0,0.0,0.0,3.8162579043864895,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.254417193625766,0.0403009840559758,0.0181909868158115
2,0.5,0.5,0.0,0.0,0.0,0.0,1.1712932257279505,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.07808621504853,0.0077466757916907,0.0167808679348629
2,0.5,1.5,0.0,0.0,0.0,0.0,2.348283681886288,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.1565522454590859,0.0207869836174819,0.0379273257490373
