seed,world,n_operators,scale_aligned_duration_error,rank_order_accuracy,composition_residual,matrix_log_baseline_error,ordinal_embedding_rank_accuracy,periodic_alias_operator_difference,periodic_alias_ground_truth,generator_branch_ambiguity,multiclock_1D_embedding_residual,scalar_time_rejected,same_budget_baseline_equal_or_better,duration_labels_hidden,timestamps_hidden,operator_storage_order_randomized,input_feature_count,stage
4,nearly_degenerate_generator,4,1.7333583299148637e-15,1.0,1.1336708508914504e-16,1.7333583299148637e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
4,multi_clock_product_system,4,0.2926506420175286,0.8333333333333334,0.7100025691951195,0.2926506420175286,1.0,,False,False,0.2518270466713691,True,True,True,True,True,16,development
5,stable_linear_flow,4,3.817954635203936e-16,1.0,1.4525256989102044e-16,3.817954635203936e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
5,non_normal_linear_flow,4,1.7613294000646774e-15,1.0,3.145483651192879e-15,1.7613294000646774e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
5,damped_rotation,4,2.5728528803278086e-15,1.0,2.206673210348108e-15,1.6549076328079436e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
5,multi_rate_system,4,2.6917496025733633e-16,1.0,0.0,2.6917496025733633e-16,1.0,,False,False,0.0,False,True,True,True,True,36,development
5,periodic_rotation,4,1.0,0.1666666666666666,,1.0,0.1666666666666666,2.448739272652472e-13,True,True,0.0,False,True,True,True,True,16,development
5,nearly_degenerate_generator,4,2.082963028648268e-15,1.0,1.133897607736557e-16,2.082963028648268e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
5,multi_clock_product_system,4,0.2926506420175286,0.8333333333333334,0.7098489834829642,0.2926506420175286,1.0,,False,False,0.2518270466713691,True,True,True,True,True,16,development
6,stable_linear_flow,4,3.3959981524330854e-16,1.0,1.4526373049654811e-16,3.3959981524330854e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
6,non_normal_linear_flow,4,1.9881848760016784e-15,1.0,3.528502564764007e-15,1.9881848760016784e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
6,damped_rotation,4,1.1386288897532064e-15,1.0,2.351107350451377e-15,1.6419032851670164e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
6,multi_rate_system,4,2.6272671962866383e-16,1.0,1.1026134323720034e-16,2.6272671962866383e-16,1.0,,False,False,0.0,False,True,True,True,True,36,development
6,periodic_rotation,4,1.0,0.1666666666666666,,1.0,0.1666666666666666,2.448739272652472e-13,True,True,0.0,False,True,True,True,True,16,development
6,nearly_degenerate_generator,4,1.4164923449420864e-15,1.0,1.1341244099375688e-16,1.4164923449420864e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
6,multi_clock_product_system,4,0.2926506420175285,0.8333333333333334,0.7096936345642937,0.2926506420175285,1.0,,False,False,0.2518270466713691,True,True,True,True,True,16,development
7,stable_linear_flow,4,4.793731443467641e-16,1.0,1.4527489144240542e-16,4.793731443467641e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
7,non_normal_linear_flow,4,1.801758617708154e-15,1.0,3.0226705481923708e-15,1.801758617708154e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
7,damped_rotation,4,9.5516217787254e-16,1.0,2.399089037124488e-15,9.560594652267002e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
7,multi_rate_system,4,4.2434193310554724e-16,1.0,1.1026939042232602e-16,4.2434193310554724e-16,1.0,,False,False,0.0,False,True,True,True,True,36,development
7,periodic_rotation,4,1.0,0.1666666666666666,,1.0,0.1666666666666666,2.448739272652472e-13,True,True,0.0,False,True,True,True,True,16,development
7,nearly_degenerate_generator,4,2.8630916426571334e-15,1.0,1.1343512575035566e-16,2.8630916426571334e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
7,multi_clock_product_system,4,0.2926506420175286,0.8333333333333334,0.7095365233611738,0.2926506420175286,1.0,,False,False,0.2518270466713691,True,True,True,True,True,16,development
8,stable_linear_flow,4,9.703032212824835e-16,1.0,1.4528605272848361e-16,9.703032212824835e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
8,non_normal_linear_flow,4,1.6503677671284901e-15,1.0,3.532155239066576e-15,1.6503677671284901e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
8,damped_rotation,4,9.479533036745075e-16,1.0,2.226513638958036e-15,8.37496411718976e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
8,multi_rate_system,4,5.555940082857308e-16,1.0,1.4231115441979596e-16,5.555940082857308e-16,1.0,,False,False,0.0,False,True,True,True,True,36,development
8,periodic_rotation,4,1.0,0.1666666666666666,,1.0,0.1666666666666666,2.448739272652472e-13,True,True,0.0,False,True,True,True,True,16,development
8,nearly_degenerate_generator,4,4.176820610280481e-15,1.0,1.1345781504435952e-16,4.176820610280481e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
8,multi_clock_product_system,4,0.2926506420175286,0.8333333333333334,0.7093776508079381,0.2926506420175286,1.0,,False,False,0.2518270466713691,True,True,True,True,True,16,development
9,stable_linear_flow,4,4.4021062718039073e-16,1.0,1.1848849762539958e-16,4.4021062718039073e-16,1.0,,False,False,0.0,False,True,True,True,True,16,development
9,non_normal_linear_flow,4,1.7812977010456126e-15,1.0,3.5306256474255185e-15,1.7812977010456126e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
9,damped_rotation,4,1.2864264401639041e-15,1.0,2.3968380955425597e-15,1.6892656922125786e-15,1.0,,False,False,0.0,False,True,True,True,True,16,development
9,multi_rate_system,4,3.414882439730565e-16,1.0,1.4233673970014259e-16,3.414882439730565e-16,1.0,,False,False,0.0,False,True,True,True,True,36,development
