seed,metric,P,D,Delta,weakest_target_class,weakest_preserve_transform,strongest_destroy_target_class,strongest_destroy_transform,target_class_count,strongest_baseline_metric,strongest_baseline_delta,baseline_advantage
10174,mutual_information,0.9620836351598732,1.0,-0.03791636484012684,history_dependent_relational_mode,P5_observation_noise,history_dependent_relational_mode,D8_block_shuffle,3,,,
10174,pca_rank1_explained_variance,0.9888057234075672,1.0,-0.011194276592432773,history_dependent_relational_mode,P5_observation_noise,history_dependent_relational_mode,D6_common_driver_replacement,3,,,
10174,pearson,0.8997916839527568,1.0,-0.10020831604724323,persistent_shared_mode,P4_orthogonal_basis_rotation,history_dependent_relational_mode,D8_block_shuffle,3,,,
10174,spectral_coherence,0.7108978427153341,1.0,-0.28910215728466593,persistent_shared_mode,P2_global_scaling,persistent_shared_mode,D6_common_driver_replacement,3,,,
10175,VAR_ARX_predictive,0.8932182701789648,0.9707283096821552,-0.07751003950319035,persistent_shared_mode,P2_global_scaling,history_dependent_relational_mode,D1_temporal_shuffle,3,,,
10175,autocorrelation_persistence,0.7877994097601252,1.0,-0.2122005902398748,history_dependent_relational_mode,P7_coarse_graining,persistent_shared_mode,D7_history_destruction,3,,,
10175,correlon_v1,0.0,1.0,-1.0,direct_coupling_SCM,P6_time_reparameterization,direct_coupling_SCM,D6_common_driver_replacement,3,pca_rank1_explained_variance,-0.012439200200692224,-0.9875607997993078
10175,largest_covariance_eigenvalue,0.8769108041328689,1.0,-0.12308919586713107,direct_coupling_SCM,P7_coarse_graining,direct_coupling_SCM,D7_history_destruction,3,,,
10175,linear_CKA,0.3086893886560946,1.0,-0.6913106113439054,persistent_shared_mode,P2_global_scaling,history_dependent_relational_mode,D5_source_swap,3,,,
10175,mutual_information,0.9454268103159188,1.0,-0.0545731896840812,history_dependent_relational_mode,P5_observation_noise,direct_coupling_SCM,D8_block_shuffle,3,,,
10175,pca_rank1_explained_variance,0.9875607997993078,1.0,-0.012439200200692224,direct_coupling_SCM,P5_observation_noise,direct_coupling_SCM,D7_history_destruction,3,,,
10175,pearson,0.916846602381696,1.0,-0.08315339761830398,direct_coupling_SCM,P4_orthogonal_basis_rotation,history_dependent_relational_mode,D5_source_swap,3,,,
10175,spectral_coherence,0.5709519650452652,1.0,-0.42904803495473476,persistent_shared_mode,P2_global_scaling,direct_coupling_SCM,D1_temporal_shuffle,3,,,
10176,VAR_ARX_predictive,0.7465981016382703,1.0,-0.25340189836172966,direct_coupling_SCM,P2_global_scaling,persistent_shared_mode,D6_common_driver_replacement,3,,,
10176,autocorrelation_persistence,0.7964660297142789,1.0,-0.20353397028572107,direct_coupling_SCM,P7_coarse_graining,persistent_shared_mode,D5_source_swap,3,,,
10176,correlon_v1,0.0,1.0,-1.0,direct_coupling_SCM,P5_observation_noise,persistent_shared_mode,D6_common_driver_replacement,3,pca_rank1_explained_variance,0.011350937774869396,-1.0113509377748695
10176,largest_covariance_eigenvalue,0.885089432361046,0.979648778168792,-0.09455934580774605,history_dependent_relational_mode,P7_coarse_graining,history_dependent_relational_mode,D6_common_driver_replacement,3,,,
10176,linear_CKA,0.3367809399059738,0.982973910921788,-0.6461929710158142,direct_coupling_SCM,P2_global_scaling,history_dependent_relational_mode,D2_phase_randomization,3,,,
10176,mutual_information,0.9456204225729148,1.0,-0.05437957742708521,direct_coupling_SCM,P5_observation_noise,direct_coupling_SCM,D3_IAAFT_surrogate,3,,,
10176,pca_rank1_explained_variance,0.9909997159436618,0.9796487781687924,0.011350937774869396,history_dependent_relational_mode,P5_observation_noise,history_dependent_relational_mode,D6_common_driver_replacement,3,,,
10176,pearson,0.8467365594074932,0.980224151546742,-0.13348759213924888,persistent_shared_mode,P4_orthogonal_basis_rotation,history_dependent_relational_mode,D2_phase_randomization,3,,,
10176,spectral_coherence,0.6697637265170037,1.0,-0.33023627348299633,persistent_shared_mode,P2_global_scaling,persistent_shared_mode,D6_common_driver_replacement,3,,,
10177,VAR_ARX_predictive,0.8718195206654161,1.0,-0.12818047933458387,history_dependent_relational_mode,P2_global_scaling,persistent_shared_mode,D6_common_driver_replacement,3,,,
10177,autocorrelation_persistence,0.806269507514217,1.0,-0.193730492485783,direct_coupling_SCM,P7_coarse_graining,direct_coupling_SCM,D5_source_swap,3,,,
10177,correlon_v1,0.0,1.0,-1.0,direct_coupling_SCM,P1_node_permutation,persistent_shared_mode,D6_common_driver_replacement,3,pca_rank1_explained_variance,0.007662949706544797,-1.0076629497065448
10177,largest_covariance_eigenvalue,0.8745735692120539,0.984231729466209,-0.10965816025415509,history_dependent_relational_mode,P7_coarse_graining,history_dependent_relational_mode,D8_block_shuffle,3,,,
10177,linear_CKA,0.4909269831371977,1.0,-0.5090730168628024,persistent_shared_mode,P2_global_scaling,history_dependent_relational_mode,D5_source_swap,3,,,
10177,mutual_information,0.990097273417028,1.0,-0.009902726582971977,persistent_shared_mode,P5_observation_noise,direct_coupling_SCM,D7_history_destruction,3,,,
