trial,latent_rank,rho,frequency,strength,noise,drift,x_delay,y_delay,sample_length,correlon_score,threshold,crosses_threshold,running_max,direct_edge,T_iso,T_floor
0,2,0.10456218140458011,0.1296959984671664,0.8735370426149465,1.096896967886767,1.0683609289187204,2,0,300,0.07573524824185568,0.05106167951270389,True,0.07573524824185568,False,0.017444558732198495,0.3288032626281646
1,1,0.1354560435044645,0.433436559391951,1.104240141352871,1.3555427980914927,1.152725389247599,8,0,450,0.05269989957980163,0.05106167951270389,True,0.07573524824185568,False,0.02182619734737337,0.12724522607028485
2,2,0.7187273252148717,0.002311472471893111,1.2435100928330336,0.17482918821111612,0.4302889401675547,5,2,300,0.2687691498885488,0.05106167951270389,True,0.2687691498885488,False,0.1246343808880351,0.5795901212580095
3,2,0.05899822855037582,0.3584030036891393,0.9218446011804247,0.9613527988658699,0.6889165832351776,0,5,300,0.02993717825280983,0.05106167951270389,False,0.2687691498885488,False,0.004311181679252041,0.20788607588813102
4,1,0.6684545988994075,0.22390852901490574,0.2219826055091176,0.5794743044353383,1.0961644353079494,1,8,600,0.0,0.05106167951270389,False,0.2687691498885488,False,-0.006107101712008872,0.10811588557173865
5,1,0.582097985744003,0.371596302974393,0.34921405221829926,0.9803406820521335,1.4911280682424881,0,2,750,0.0,0.05106167951270389,False,0.2687691498885488,False,0.01821063932471037,-0.07046733642000388
6,1,0.5834545415094066,0.2741869126254758,2.654727693720699,0.3284107815220302,1.8782236335769746,1,1,750,0.6322086657590754,0.05106167951270389,True,0.6322086657590754,False,0.43100175355473436,0.9273461041965637
7,3,0.23391165160651525,0.18651603141519033,0.6319085163727881,1.060774286427171,0.6351044486534598,0,8,300,0.0,0.05106167951270389,False,0.6322086657590754,False,-0.01927781400076517,-0.08873549773000464
8,2,0.19574944513338488,0.385901990378532,1.3870946073601056,0.553133944108465,0.30455428123295203,8,1,600,0.007469998742292471,0.05106167951270389,False,0.6322086657590754,False,0.0027231878251313957,0.020491014499581447
9,2,0.24866776840082844,0.15995804148198545,1.436029808158128,1.334699473298648,1.010816016112303,5,3,600,0.0,0.05106167951270389,False,0.6322086657590754,False,-0.023464511916094555,-0.13454927094371005
10,2,0.010836140427465907,0.23728747090529792,0.9199204329544182,1.4570085323317723,0.7037064727794728,5,3,600,0.0,0.05106167951270389,False,0.6322086657590754,False,0.053256552356843075,-0.04725824420275816
11,1,0.2519764987027034,0.33772771828009346,0.3775037977677078,1.2265566560214536,1.3593492765299835,1,1,300,0.0,0.05106167951270389,False,0.6322086657590754,False,0.010937285075058228,-0.07980314851956263
12,2,0.2210441380921272,0.07999142182831294,1.8560657930610502,0.5571374174426178,1.5647456316510497,8,8,450,0.0,0.05106167951270389,False,0.6322086657590754,False,-0.040330650182214905,0.8207097265892033
13,1,0.018366923196538078,0.2733322928655818,0.4722394308135711,0.8963266573624518,0.19041700565131792,0,8,450,0.0,0.05106167951270389,False,0.6322086657590754,False,0.04208967675513159,-0.015008063882898215
14,2,0.06785030846857698,0.40320830116033307,0.7643747805906158,0.49010173151779846,0.2749228636533416,5,1,600,0.05961036863921624,0.05106167951270389,True,0.6322086657590754,False,0.03475714052383011,0.10223499389620339
15,1,0.48121546167180185,0.35400427418013775,2.2469542237942046,1.063250170700069,1.0942566702324876,5,8,300,0.0,0.05106167951270389,False,0.6322086657590754,False,-0.00048190709648852914,-0.1602096487020831
16,2,0.6283591958655372,0.016068739279193063,2.7529470192854752,0.15599552737669428,1.5747385377076064,0,0,750,0.0,0.05106167951270389,False,0.6322086657590754,False,-0.22308525831637824,0.4072045573605305
17,1,0.8018988106893058,0.027649087855648735,0.27698922586764446,0.6580463432483971,0.6145187318645109,8,5,750,0.0,0.05106167951270389,False,0.6322086657590754,False,-0.010962789564878908,0.06690760986763157
18,1,0.9753444845249946,0.27544775049182124,1.4704328665733934,0.8236245904300517,1.284697760642189,3,0,600,0.24984036925365055,0.05106167951270389,True,0.6322086657590754,False,0.09470094995070596,0.6591297145518774
19,2,0.6661228094731066,0.3676543034259737,1.8611702158241514,0.577018312533642,0.5707031562105911,1,5,300,0.02635034697576992,0.05106167951270389,False,0.6322086657590754,False,0.03147672406155244,0.022058864333711792
20,2,0.13981107068174295,0.01948605266426226,2.3758776666138486,0.38166385756173293,1.1130803623858847,0,8,300,0.19336456912864572,0.05106167951270389,True,0.6322086657590754,False,0.08017071790728908,0.466377969042826
21,1,0.6739442048376086,0.3681268000369206,0.85728705287758,0.22730617786952279,1.9731452718875357,5,3,300,0.37217982431936486,0.05106167951270389,True,0.6322086657590754,False,0.3003872320589919,0.46113085659776076
22,2,0.5937679406626564,0.13849813530031846,1.59289685254898,0.5833680266080051,1.949208993802439,0,0,600,0.0,0.05106167951270389,False,0.6322086657590754,False,-0.07550839333921563,-0.045491804993949156
23,2,0.4350086587185464,0.2415942143879908,0.9221312058719808,1.343463786712526,0.005255594068012792,0,3,750,0.0,0.05106167951270389,False,0.6322086657590754,False,-0.005199796535518775,-0.05881968031811096
24,2,0.08682072384068269,0.19793793376483762,1.0288594823145212,0.10451571295594289,0.8216252688092378,8,0,600,0.1275818452627842,0.05106167951270389,True,0.6322086657590754,False,0.03475601132701572,0.46832552468426825
25,1,0.19503814259309854,0.250600629996516,1.6746623296934116,1.081174838076332,1.2648120678484993,3,5,450,0.0,0.05106167951270389,False,0.6322086657590754,False,-0.021973758700480447,-0.10622695022436204
26,2,0.3881182537841304,0.14086325420548057,0.9520032321736112,0.9649474010649827,1.1254021530511746,0,0,300,0.05145019283067033,0.05106167951270389,True,0.6322086657590754,False,0.007516134719397147,0.3521919764798309
27,2,0.6712776018543848,0.400398759064624,2.6866471708540214,1.0528756428282229,0.3182169902963645,5,8,600,0.032649985372171474,0.05106167951270389,False,0.6322086657590754,False,0.015263375436268073,0.06984179543077895
28,3,0.23526641649568195,0.23341558959876643,0.7493107342792948,1.2150866330172592,1.82460166629563,1,8,450,0.0,0.05106167951270389,False,0.6322086657590754,False,-0.014721080361698571,-0.048733670081271045
29,3,0.8890958119813249,0.12291302183665966,1.037341841687362,0.6524851157265424,0.8511908063055822,0,2,450,0.0,0.05106167951270389,False,0.6322086657590754,False,-0.005892449021859314,-0.05249004398345462
30,2,0.9187374172467445,0.25469396771410796,0.7978732217095841,0.4509777080075619,1.6795816178730596,1,0,600,0.0,0.05106167951270389,False,0.6322086657590754,False,-0.018525566965802265,0.004595212685407014
31,1,0.7056831316807254,0.18747492431017057,1.4833277563940426,0.2779289708705923,0.33029051947612253,3,8,750,0.0,0.05106167951270389,False,0.6322086657590754,False,-0.013248450376227253,0.24360183473976332
32,2,0.9782306298639719,0.32574688109888283,0.9231312482244747,0.46709545262215413,1.064379749705596,3,1,600,0.0,0.05106167951270389,False,0.6322086657590754,False,-0.09307884695589447,-0.07243703482095228
