stage,seed,negative_class,metric,score,direct_edge,mechanism,T_iso,T_floor,T_pers
pilot,0,transient_mode,correlon_v1,0.0,False,transient_direct_edge,0.001917477407718332,-0.12605002153340622,0.011355077221719745
pilot,0,transient_mode,pearson,0.05973844286092249,False,transient_direct_edge,,,
pilot,0,transient_mode,mutual_information,0.010279977529182971,False,transient_direct_edge,,,
pilot,0,transient_mode,largest_covariance_eigenvalue,1.4194171346405844,False,transient_direct_edge,,,
pilot,0,transient_mode,pca_rank1_explained_variance,0.11828476122004879,False,transient_direct_edge,,,
pilot,0,transient_mode,spectral_coherence,0.10884975138742324,False,transient_direct_edge,,,
pilot,0,transient_mode,autocorrelation_persistence,0.608637801915448,False,transient_direct_edge,,,
pilot,0,transient_mode,linear_CKA,0.02089667375248119,False,transient_direct_edge,,,
pilot,0,transient_mode,VAR_ARX_predictive,0.033798478276560795,False,transient_direct_edge,,,
pilot,0,nonstationary_drift,correlon_v1,0.07779965963874225,False,shared_deterministic_nonstationary_drift,0.032120103246165696,0.18844232826763047,0.1604614827813013
pilot,0,nonstationary_drift,pearson,0.25637189764883483,False,shared_deterministic_nonstationary_drift,,,
pilot,0,nonstationary_drift,mutual_information,0.07042232599447396,False,shared_deterministic_nonstationary_drift,,,
pilot,0,nonstationary_drift,largest_covariance_eigenvalue,3.6414272211315524,False,shared_deterministic_nonstationary_drift,,,
pilot,0,nonstationary_drift,pca_rank1_explained_variance,0.30345226842762923,False,shared_deterministic_nonstationary_drift,,,
pilot,0,nonstationary_drift,spectral_coherence,0.12232869881825112,False,shared_deterministic_nonstationary_drift,,,
pilot,0,nonstationary_drift,autocorrelation_persistence,0.2620242788860199,False,shared_deterministic_nonstationary_drift,,,
pilot,0,nonstationary_drift,linear_CKA,0.3076433485545157,False,shared_deterministic_nonstationary_drift,,,
pilot,0,nonstationary_drift,VAR_ARX_predictive,0.04411758288952522,False,shared_deterministic_nonstationary_drift,,,
pilot,0,finite_sample_spurious,correlon_v1,0.028992769332721463,False,max_of_eight_independent_AR097_candidates,0.017922338555335815,0.04690128305438899,-0.03319983121697112
pilot,0,finite_sample_spurious,pearson,0.2568324809890788,False,max_of_eight_independent_AR097_candidates,,,
pilot,0,finite_sample_spurious,mutual_information,0.166804915988073,False,max_of_eight_independent_AR097_candidates,,,
pilot,0,finite_sample_spurious,largest_covariance_eigenvalue,3.060533461546684,False,max_of_eight_independent_AR097_candidates,,,
pilot,0,finite_sample_spurious,pca_rank1_explained_variance,0.2550444551288904,False,max_of_eight_independent_AR097_candidates,,,
pilot,0,finite_sample_spurious,spectral_coherence,0.15292040451764816,False,max_of_eight_independent_AR097_candidates,,,
pilot,0,finite_sample_spurious,autocorrelation_persistence,0.9654587351948004,False,max_of_eight_independent_AR097_candidates,,,
pilot,0,finite_sample_spurious,linear_CKA,0.2998645927510613,False,max_of_eight_independent_AR097_candidates,,,
pilot,0,finite_sample_spurious,VAR_ARX_predictive,0.042534965276653514,False,max_of_eight_independent_AR097_candidates,,,
pilot,0,mixture_without_relational_mechanism,correlon_v1,0.31915970003469935,False,blockwise_changing_common_factor_mixture,0.261857906733386,0.38900071950071874,0.33174637733066586
pilot,0,mixture_without_relational_mechanism,pearson,0.1273229966872659,False,blockwise_changing_common_factor_mixture,,,
pilot,0,mixture_without_relational_mechanism,mutual_information,0.03417383105842453,False,blockwise_changing_common_factor_mixture,,,
pilot,0,mixture_without_relational_mechanism,largest_covariance_eigenvalue,1.9426147746984685,False,blockwise_changing_common_factor_mixture,,,
pilot,0,mixture_without_relational_mechanism,pca_rank1_explained_variance,0.16188456455820566,False,blockwise_changing_common_factor_mixture,,,
pilot,0,mixture_without_relational_mechanism,spectral_coherence,0.1638184880997534,False,blockwise_changing_common_factor_mixture,,,
pilot,0,mixture_without_relational_mechanism,autocorrelation_persistence,0.18093919528055435,False,blockwise_changing_common_factor_mixture,,,
pilot,0,mixture_without_relational_mechanism,linear_CKA,0.09125890654537289,False,blockwise_changing_common_factor_mixture,,,
pilot,0,mixture_without_relational_mechanism,VAR_ARX_predictive,0.04955820506546804,False,blockwise_changing_common_factor_mixture,,,
pilot,1,independent_noise,correlon_v1,0.0,False,independent_noise,-0.007090515952000928,0.17548547452951058,0.13748029187028715
pilot,1,independent_noise,pearson,0.056026529182746615,False,independent_noise,,,
pilot,1,independent_noise,mutual_information,0.009156654503810091,False,independent_noise,,,
pilot,1,independent_noise,largest_covariance_eigenvalue,1.3129790975773714,False,independent_noise,,,
pilot,1,independent_noise,pca_rank1_explained_variance,0.10941492479811432,False,independent_noise,,,
pilot,1,independent_noise,spectral_coherence,0.1250584812808649,False,independent_noise,,,
pilot,1,independent_noise,autocorrelation_persistence,0.7050761471316047,False,independent_noise,,,
pilot,1,independent_noise,linear_CKA,0.018607071504787548,False,independent_noise,,,
pilot,1,independent_noise,VAR_ARX_predictive,0.028165470864676523,False,independent_noise,,,
pilot,1,common_driver,correlon_v1,0.4987811788744624,False,latent_AR1_common_driver,0.2904019334541187,0.856683911984712,0.6038665105631393
