stage,seed,negative_class,metric,score,direct_edge,mechanism,T_iso,T_floor,T_pers
confirmatory,10000,switching_mode,autocorrelation_persistence,0.6273136828127633,False,switching_direct_edge,,,
confirmatory,10000,switching_mode,linear_CKA,0.02427362254868186,False,switching_direct_edge,,,
confirmatory,10000,switching_mode,VAR_ARX_predictive,0.043914361737177166,False,switching_direct_edge,,,
confirmatory,10000,transient_mode,correlon_v1,0.0,False,transient_direct_edge,0.03398435146126588,-0.046191075093229325,0.05339276501191259
confirmatory,10000,transient_mode,pearson,0.07796474221874122,False,transient_direct_edge,,,
confirmatory,10000,transient_mode,mutual_information,0.016554575888324763,False,transient_direct_edge,,,
confirmatory,10000,transient_mode,largest_covariance_eigenvalue,1.5142659312808577,False,transient_direct_edge,,,
confirmatory,10000,transient_mode,pca_rank1_explained_variance,0.1261888276067381,False,transient_direct_edge,,,
confirmatory,10000,transient_mode,spectral_coherence,0.12729730152995508,False,transient_direct_edge,,,
confirmatory,10000,transient_mode,autocorrelation_persistence,0.6041616150591959,False,transient_direct_edge,,,
confirmatory,10000,transient_mode,linear_CKA,0.035725321815331126,False,transient_direct_edge,,,
confirmatory,10000,transient_mode,VAR_ARX_predictive,0.02585313080679985,False,transient_direct_edge,,,
confirmatory,10000,nonstationary_drift,correlon_v1,0.0,False,shared_deterministic_nonstationary_drift,-0.0059314843139317425,0.013689736423755594,0.021878917355499017
confirmatory,10000,nonstationary_drift,pearson,0.25572028115212725,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10000,nonstationary_drift,mutual_information,0.07008837024301695,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10000,nonstationary_drift,largest_covariance_eigenvalue,3.6429946635750987,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10000,nonstationary_drift,pca_rank1_explained_variance,0.30358288863125826,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10000,nonstationary_drift,spectral_coherence,0.13700030250529688,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10000,nonstationary_drift,autocorrelation_persistence,0.2561108699737438,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10000,nonstationary_drift,linear_CKA,0.30538722392652334,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10000,nonstationary_drift,VAR_ARX_predictive,0.046733621316774054,False,shared_deterministic_nonstationary_drift,,,
confirmatory,10000,finite_sample_spurious,correlon_v1,0.0,False,max_of_eight_independent_AR097_candidates,0.05525469392471144,-0.09498105646625354,0.12688762348551297
confirmatory,10000,finite_sample_spurious,pearson,0.20861705752395696,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10000,finite_sample_spurious,mutual_information,0.14149764293479494,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10000,finite_sample_spurious,largest_covariance_eigenvalue,2.5286998617365177,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10000,finite_sample_spurious,pca_rank1_explained_variance,0.21072498847804325,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10000,finite_sample_spurious,spectral_coherence,0.12552739378606995,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10000,finite_sample_spurious,autocorrelation_persistence,0.9677107351523819,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10000,finite_sample_spurious,linear_CKA,0.18785019541703374,False,max_of_eight_independent_AR097_candidates,,,
confirmatory,10000,finite_sample_spurious,VAR_ARX_predictive,0.04140676527112641,False,max_of_eight_independent_AR097_candidates,,,
