stage,seed,target_class,metric,base_score,P,D,Delta,weakest_preserve_transform,strongest_destroy_transform,T_iso,T_floor,T_pers
pilot,1,persistent_shared_mode,spectral_coherence,0.23024005578904652,0.5862652139109888,0.9409270392832436,-0.35466182537225477,P2_global_scaling,D6_common_driver_replacement,,,
pilot,1,persistent_shared_mode,autocorrelation_persistence,0.6888936564815921,0.8847420213566807,1.0,-0.11525797864331933,P7_coarse_graining,D5_source_swap,,,
pilot,1,persistent_shared_mode,linear_CKA,0.2250716463514448,0.4536935694541333,0.47927276208068803,-0.025579192626554725,P2_global_scaling,D6_common_driver_replacement,,,
pilot,1,persistent_shared_mode,VAR_ARX_predictive,0.045059335388314525,0.9088873554046795,1.0,-0.09111264459532054,P2_global_scaling,D6_common_driver_replacement,,,
pilot,1,direct_coupling_SCM,correlon_v1,0.0,0.0,1.0,-1.0,P1_node_permutation,D1_temporal_shuffle,-0.03732928911529462,-0.09811454635875659,-0.008905491593920623
pilot,1,direct_coupling_SCM,pearson,0.08530175321519773,0.9909853770804596,0.9167847522356117,0.0742006248448479,P4_orthogonal_basis_rotation,D2_phase_randomization,,,
pilot,1,direct_coupling_SCM,mutual_information,0.017622844769452084,1.0,1.0,0.0,P1_node_permutation,D2_phase_randomization,,,
pilot,1,direct_coupling_SCM,largest_covariance_eigenvalue,1.7671906066670282,0.8803714353844445,1.0,-0.11962856461555549,P7_coarse_graining,D7_history_destruction,,,
pilot,1,direct_coupling_SCM,pca_rank1_explained_variance,0.147265883888919,0.9997258506747164,1.0,-0.00027414932528357916,P5_observation_noise,D7_history_destruction,,,
pilot,1,direct_coupling_SCM,spectral_coherence,0.16854714830895495,0.6824405101031463,1.0,-0.3175594898968537,P2_global_scaling,D6_common_driver_replacement,,,
pilot,1,direct_coupling_SCM,autocorrelation_persistence,0.6197757637154243,0.7873516252680236,1.0,-0.2126483747319764,P7_coarse_graining,D5_source_swap,,,
pilot,1,direct_coupling_SCM,linear_CKA,0.04184108781213907,0.7398754598808196,0.8574148318809787,-0.11753937200015907,P2_global_scaling,D2_phase_randomization,,,
pilot,1,direct_coupling_SCM,VAR_ARX_predictive,0.05120789853387692,0.9806880655238298,0.8075610390900237,0.17312702643380606,P5_observation_noise,D6_common_driver_replacement,,,
pilot,1,history_dependent_relational_mode,correlon_v1,0.0,0.0,1.0,-1.0,P1_node_permutation,D4_edge_cutting,-0.026897734067500248,0.15964475347484128,-0.03599682615540928
pilot,1,history_dependent_relational_mode,pearson,0.06618649851945642,0.9781308120674443,1.0,-0.021869187932555656,P5_observation_noise,D2_phase_randomization,,,
pilot,1,history_dependent_relational_mode,mutual_information,0.013371871288641146,0.9488000607690034,1.0,-0.05119993923099664,P5_observation_noise,D2_phase_randomization,,,
pilot,1,history_dependent_relational_mode,largest_covariance_eigenvalue,1.4827230102907532,0.8822071431472125,1.0,-0.11779285685278751,P7_coarse_graining,D5_source_swap,,,
pilot,1,history_dependent_relational_mode,pca_rank1_explained_variance,0.12356025085756282,0.9959708835718505,1.0,-0.004029116428149515,P5_observation_noise,D5_source_swap,,,
pilot,1,history_dependent_relational_mode,spectral_coherence,0.1348405936448199,0.8944525447805053,1.0,-0.10554745521949471,P5_observation_noise,D2_phase_randomization,,,
pilot,1,history_dependent_relational_mode,autocorrelation_persistence,0.6192707997929322,0.8197704882040963,0.997933999028325,-0.17816351082422877,P7_coarse_graining,D3_IAAFT_surrogate,,,
pilot,1,history_dependent_relational_mode,linear_CKA,0.02558005541519095,0.7645776815126681,1.0,-0.23542231848733186,P2_global_scaling,D2_phase_randomization,,,
pilot,1,history_dependent_relational_mode,VAR_ARX_predictive,0.03746221885679779,0.9431852932335023,1.0,-0.05681470676649769,P2_global_scaling,D2_phase_randomization,,,
pilot,2,persistent_shared_mode,correlon_v1,0.2882984064727558,0.9397095562026779,1.0,-0.06029044379732207,P5_observation_noise,D6_common_driver_replacement,0.1468943252836652,0.5658215251966094,0.42339620834134306
pilot,2,persistent_shared_mode,pearson,0.21537491878866746,0.9023374781664479,0.7641041275000017,0.13823335066644626,P4_orthogonal_basis_rotation,D6_common_driver_replacement,,,
pilot,2,persistent_shared_mode,mutual_information,0.07930668281669073,0.9845439561022531,0.4607453748064555,0.5237985812957976,P5_observation_noise,D6_common_driver_replacement,,,
pilot,2,persistent_shared_mode,largest_covariance_eigenvalue,2.943769678925774,0.9401218854941381,0.9138964486465149,0.02622543684762324,P6_time_reparameterization,D6_common_driver_replacement,,,
pilot,2,persistent_shared_mode,pca_rank1_explained_variance,0.2453141399104812,0.9961987765600946,0.9138964486465146,0.08230232791357994,P5_observation_noise,D6_common_driver_replacement,,,
pilot,2,persistent_shared_mode,spectral_coherence,0.23890313323641754,0.5746978765997802,1.0,-0.4253021234002198,P2_global_scaling,D6_common_driver_replacement,,,
pilot,2,persistent_shared_mode,autocorrelation_persistence,0.723395513329443,0.8946239495735939,0.9995048964037719,-0.10488094683017801,P7_coarse_graining,D5_source_swap,,,
pilot,2,persistent_shared_mode,linear_CKA,0.2473333480026144,0.5922437903694835,0.5847730076210447,0.00747078274843882,P2_global_scaling,D6_common_driver_replacement,,,
pilot,2,persistent_shared_mode,VAR_ARX_predictive,0.04880778217308146,0.9951025103849938,0.8710618686957902,0.12404064168920359,P2_global_scaling,D6_common_driver_replacement,,,
pilot,2,direct_coupling_SCM,correlon_v1,0.022980360558898582,0.0,0.8873633980207042,-0.8873633980207042,P6_time_reparameterization,D1_temporal_shuffle,0.003022480836229191,0.1747230172932473,0.06629789330754338
pilot,2,direct_coupling_SCM,pearson,0.07236880904856606,0.9824013091629963,0.9743445377628813,0.00805677140011496,P4_orthogonal_basis_rotation,D2_phase_randomization,,,
pilot,2,direct_coupling_SCM,mutual_information,0.013252927406548154,0.9792802984209192,1.0,-0.020719701579080763,P5_observation_noise,D2_phase_randomization,,,
pilot,2,direct_coupling_SCM,largest_covariance_eigenvalue,1.7506301977850254,0.8842038260759144,0.996544902004096,-0.11234107592818154,P7_coarse_graining,D7_history_destruction,,,
pilot,2,direct_coupling_SCM,pca_rank1_explained_variance,0.14588584981541877,0.9853699267956224,0.9965449020040961,-0.011174975208473659,P5_observation_noise,D7_history_destruction,,,
pilot,2,direct_coupling_SCM,spectral_coherence,0.15135549353432712,0.8858760714079694,1.0,-0.11412392859203058,P6_time_reparameterization,D6_common_driver_replacement,,,
