seed,family,family_parameter,history_length,p_required_exact,p_star,lag_grid_exhausted,selected_lag_nmse,d_required,d_star,state_grid_exhausted,state_approximation_nmse,heldout_prediction_NMSE,heldout_intervention_NMSE,predictive_log_likelihood,memory_kernel_reconstruction_error,long_horizon_error,parameter_count_lag,parameter_count_state,stage
30000,L2_fractional_dynamics,0.18,32,2,2,False,0.0344270092827468,2,2,False,0.01,0.0352348030425225,0.0393660441564521,1.672860481021796,0.1855451677698635,0.0365439908538848,4,6,development
30000,L2_fractional_dynamics,0.18,64,2,2,False,0.0365439908538848,2,2,False,0.01,0.0381769041800731,0.0425621830825393,1.6327622744156791,0.1911648264035119,0.0378871717512719,4,6,development
30000,L2_fractional_dynamics,0.18,128,2,2,False,0.0378871717512719,2,2,False,0.01,0.037912066304657,0.0424585269148096,1.6362429227044384,0.1946462734071009,0.0387438103062393,4,6,development
30000,L2_fractional_dynamics,0.18,256,2,2,False,0.0387438103062393,2,2,False,0.01,0.0388982563079594,0.0435475135447081,1.6234029271752974,0.1968344743845431,0.0392916592487128,4,6,development
30000,L2_fractional_dynamics,0.18,512,2,2,False,0.0392916592487128,2,2,False,0.01,0.0394640291627006,0.0441790282725461,1.6161828380406318,0.1982212381373723,0.0396425513986176,4,6,development
30000,L2_fractional_dynamics,0.18,1024,2,2,False,0.0396425513986176,2,2,False,0.01,0.0407133245906243,0.0454704307584584,1.6005999272967542,0.1991043731278086,0.0398674792136509,4,6,development
30000,L3_generalized_Langevin,0.0,16,8,8,False,0.0491504813649262,1,1,False,0.01,0.0498366235070071,0.0557346812707982,1.499502576723491,0.2216990784034211,0.175751224237818,10,2,development
30000,L3_generalized_Langevin,0.0,32,28,32,False,0.0,2,2,False,0.01,0.000167011461351,0.000167011461351,4.348724058528884,0.0,0.1006723853084747,34,6,development
30000,L3_generalized_Langevin,0.0,64,53,64,False,0.0,2,2,False,0.01,0.0020102005614275,0.0020102005614275,3.104760390042137,0.0,0.0774484335734093,66,6,development
30000,L3_generalized_Langevin,0.0,128,86,128,False,0.0,2,2,False,0.01,0.0002011917617653,0.0002011917617653,4.255626033038632,0.0,0.0699804634838965,130,6,development
30000,L3_generalized_Langevin,0.0,256,152,256,False,0.0,2,2,False,0.01,0.0002388806633666,0.0002388806633666,4.169773223595192,0.0,0.0606674999061146,258,6,development
30000,L3_generalized_Langevin,0.0,512,287,256,True,0.0606674999061146,2,2,False,0.01,0.0607052754390785,0.0679853754278123,1.4008623373294498,0.2463077341581352,0.1091271520927723,258,6,development
30000,L3_generalized_Langevin,0.0,1024,518,256,True,0.1091271520927723,2,2,False,0.01,0.1099446242103116,0.1230398824614443,1.103889228108064,0.3303439905504145,0.1485226270060034,258,6,development
30000,L4_ARFIMA,0.1,16,1,1,False,0.0176408052606283,1,1,False,0.01,0.0185165078921453,0.0206334045234207,1.994546313141496,0.1328186931897328,0.0182813818882293,3,2,development
30000,L4_ARFIMA,0.1,32,1,1,False,0.0182813818882293,1,1,False,0.01,0.0189833262886219,0.0211770921152095,1.982097124428466,0.1352086605518645,0.0186420855079237,3,2,development
30000,L4_ARFIMA,0.1,64,1,1,False,0.0186420855079237,1,1,False,0.01,0.0188760094462458,0.0211130597071966,1.98493175234064,0.136536022748298,0.0188471976449888,3,2,development
30000,L4_ARFIMA,0.1,128,1,1,False,0.0188471976449888,2,2,False,0.01,0.0194801635429471,0.0217418272603457,1.9691792926872465,0.1372850962231109,0.0189644119555979,3,6,development
30000,L4_ARFIMA,0.1,256,1,1,False,0.0189644119555979,2,2,False,0.01,0.0205332487329905,0.0228089781676623,1.942854908632912,0.1377113356103919,0.0190315629759589,3,6,development
30000,L4_ARFIMA,0.1,512,1,1,False,0.0190315629759589,2,2,False,0.01,0.0200865918929106,0.0223703794500257,1.9538513782558704,0.1379549309592047,0.0190700815802706,3,6,development
30000,L4_ARFIMA,0.1,1024,1,1,False,0.0190700815802706,2,2,False,0.01,0.019322012803673,0.0216104225933055,1.97325513661982,0.1380944661464413,0.0190921903223977,3,6,development
30000,L5_long_memory_nonlinear,0.0,16,15,16,False,0.0,4,4,False,0.01,0.0003614044542587,0.0003614044542587,3.9627564274358513,0.0,0.2528619908088494,18,20,development
30000,L5_long_memory_nonlinear,0.0,32,29,32,False,0.0,6,8,False,0.01,7.578658123985606e-05,7.578658123985606e-05,4.743794654742642,0.0,0.2249339733559022,34,72,development
30000,L5_long_memory_nonlinear,0.0,64,56,64,False,0.0,8,8,False,0.01,0.0005221580581347,0.0005221580581347,3.778770111276368,0.0,0.203059495795792,66,72,development
